frequency1,S1 1,S21
20.5,-3.79E-05,-50.59286267
20.5025,-3.79E-05,-50.50282651
20.505,-3.80E-05,-50.41263905
20.5075,-3.81E-05,-50.32229969
20.51,-3.82E-05,-50.23180785
20.5125,-3.84E-05,-50.14116291
20.515,-3.86E-05,-50.05036428
20.5175,-3.89E-05,-49.95941134
20.52,-3.92E-05,-49.86830348
20.5225,-3.95E-05,-49.77704008
20.525,-3.99E-05,-49.68562053
20.5275,-4.03E-05,-49.5940442
20.53,-4.08E-05,-49.50231046
20.5325,-4.13E-05,-49.41041867
20.535,-4.19E-05,-49.3183682
20.5375,-4.25E-05,-49.2261584
20.54,-4.31E-05,-49.13378864
20.5425,-4.38E-05,-49.04125825
20.545,-4.45E-05,-48.94856659
20.5475,-4.53E-05,-48.855713
20.55,-4.61E-05,-48.76269681
20.5525,-4.70E-05,-48.66951735
20.555,-4.79E-05,-48.57617396
20.5575,-4.88E-05,-48.48266596
20.56,-4.98E-05,-48.38899266
20.5625,-5.09E-05,-48.29515338
20.565,-5.20E-05,-48.20114743
20.5675,-5.31E-05,-48.10697411
20.57,-5.43E-05,-48.01263273
20.5725,-5.56E-05,-47.91812257
20.575,-5.69E-05,-47.82344294
20.5775,-5.82E-05,-47.72859311
20.58,-5.96E-05,-47.63357237
20.5825,-6.11E-05,-47.53837999
20.585,-6.26E-05,-47.44301525
20.5875,-6.41E-05,-47.3474774
20.59,-6.58E-05,-47.25176572
20.5925,-6.74E-05,-47.15587945
20.595,-6.92E-05,-47.05981785
20.5975,-7.09E-05,-46.96358016
20.6,-7.28E-05,-46.86716563
20.6025,-7.47E-05,-46.77057348
20.605,-7.66E-05,-46.67380295
20.6075,-7.87E-05,-46.57685326
20.61,-8.08E-05,-46.47972363
20.6125,-8.29E-05,-46.38241327
20.615,-8.51E-05,-46.28492139
20.6175,-8.74E-05,-46.1872472
20.62,-8.98E-05,-46.08938989
20.6225,-9.22E-05,-45.99134864
20.625,-9.47E-05,-45.89312265
20.6275,-9.72E-05,-45.7947111
20.63,-9.99E-05,-45.69611315
20.6325,-0.000102565,-45.59732797
20.635,-0.000105349,-45.49835473
20.6375,-0.00010821,-45.39919259
20.64,-0.000111151,-45.29984068
20.6425,-0.000114173,-45.20029815
20.645,-0.000117277,-45.10056414
20.6475,-0.000120466,-45.00063779
20.65,-0.000123741,-44.9005182
20.6525,-0.000127105,-44.80020451
20.655,-0.000130559,-44.69969582
20.6575,-0.000134106,-44.59899124
20.66,-0.000137748,-44.49808987
20.6625,-0.000141486,-44.39699079
20.665,-0.000145324,-44.29569309
20.6675,-0.000149263,-44.19419586
20.67,-0.000153307,-44.09249815
20.6725,-0.000157457,-43.99059904
20.675,-0.000161716,-43.88849758
20.6775,-0.000166087,-43.78619282
20.68,-0.000170573,-43.68368381
20.6825,-0.000175177,-43.58096957
20.685,-0.000179901,-43.47804915
20.6875,-0.000184749,-43.37492156
20.69,-0.000189724,-43.2715858
20.6925,-0.000194829,-43.1680409
20.695,-0.000200067,-43.06428585
20.6975,-0.000205443,-42.96031963
20.7,-0.000210959,-42.85614124
20.7025,-0.00021662,-42.75174964
20.705,-0.000222429,-42.64714381
20.7075,-0.00022839,-42.54232269
20.71,-0.000234508,-42.43728526
20.7125,-0.000240786,-42.33203044
20.715,-0.000247229,-42.22655718
20.7175,-0.000253842,-42.12086439
20.72,-0.000260629,-42.014951
20.7225,-0.000267595,-41.90881592
20.725,-0.000274745,-41.80245804
20.7275,-0.000282085,-41.69587627
20.73,-0.000289618,-41.58906948
20.7325,-0.000297352,-41.48203654
20.735,-0.000305292,-41.37477633
20.7375,-0.000313443,-41.2672877
20.74,-0.000321812,-41.1595695
