"Freq [GHz]","ag_0 [mm]","mag(S(1,1)) []","ang_deg(S(1,1)) [deg]","mag(S(2,1)) []","ang_deg(S(2,1)) [deg]"
22,0.25,0.999999999998088,179.956431198166,1.9556003916259E-06,89.9623436275147
22,0.5,0.999999999876007,179.784426136444,1.57475826797882E-05,89.772243853982
22,0.75,0.999999990644782,179.496774331167,0.000136786096384676,89.4729462550472
22,1,0.999999612959818,178.882829239821,0.000879818285144837,88.9103741037624
22,1.25,0.999995866317261,178.182304989919,0.00287529970426771,88.1924951150057
22,1.5,0.999977852117609,177.321465479029,0.00665546949904482,87.3225142282839
22,1.75,0.999921094009151,176.304842753024,0.0125620760840761,86.2997918368437
22,2,0.999771524695697,175.024737019012,0.0213751820492932,85.0294196419878
22,2.25,0.999411517911616,173.466803522583,0.0343018638793608,83.4475888928956
22,2.5,0.998731876175916,171.737854823573,0.0503452034471492,81.7373856899548
22,2.75,0.997460119413066,169.680478582737,0.0712271730484427,79.6930270493395
22,3,0.995399036704529,167.483729707574,0.0958162706835066,77.5040788929505
22,3.25,0.991908521809665,164.857996762408,0.126954654744779,74.8606686713926
22,3.5,0.986998913157237,162.16169362116,0.160726928131011,72.1866605268266
22,3.75,0.978728727646987,158.709773231965,0.205158664644001,68.7151121514762
22,4,0.968041511525136,155.283273975675,0.250790015678714,65.3192618935656
22,4.25,0.951682192682603,151.150181245485,0.307084685601274,61.140263082882
22,4.5,0.931505088530578,147.117971334033,0.363728291505681,57.0090553626601
22,4.75,0.902110713784908,141.96329411123,0.43150464664298,51.9610261919551
22,5,0.867194888531565,136.965794038933,0.497968899937262,46.963299207987
22,5.25,0.824754928829237,131.721264163677,0.565490324737638,41.721255384295
22,5.5,0.775996747958857,126.414013908818,0.630736908034783,36.4226017431319
22,5.75,0.721406764694149,121.089406307828,0.692511573804743,31.0947858744683
22,6,0.662584470911471,115.881960846886,0.74898719542257,25.8498396920527
22,6.25,0.601636922080764,110.797313507163,0.798769687700517,20.8013644556548
22,6.5,0.539881570529824,105.973262184125,0.841740987360273,15.979119342061
