frequency2,S11_C,S21_C
20.5,-0.022116133,-50.53657803
20.5025,-0.022186322,-50.44647885
20.505,-0.022256995,-50.35622871
20.5075,-0.022328157,-50.26582701
20.51,-0.02239981,-50.17527315
20.5125,-0.022471959,-50.08456652
20.515,-0.022544608,-49.9937065
20.5175,-0.02261776,-49.90269249
20.52,-0.02269142,-49.81152387
20.5225,-0.02276559,-49.72020001
20.525,-0.022840277,-49.6287203
20.5275,-0.022915483,-49.53708409
20.53,-0.022991212,-49.44529075
20.5325,-0.023067469,-49.35333965
20.535,-0.023144259,-49.26123015
20.5375,-0.023221586,-49.16896159
20.54,-0.023299453,-49.07653333
20.5425,-0.023377866,-48.98394471
20.545,-0.02345683,-48.89119507
20.5475,-0.023536348,-48.79828376
20.55,-0.023616426,-48.70521009
20.5525,-0.023697069,-48.61197341
20.555,-0.02377828,-48.51857303
20.5575,-0.023860067,-48.42500827
20.56,-0.023942432,-48.33127845
20.5625,-0.024025382,-48.23738288
20.565,-0.024108922,-48.14332086
20.5675,-0.024193057,-48.0490917
20.57,-0.024277792,-47.95469468
20.5725,-0.024363133,-47.86012911
20.575,-0.024449085,-47.76539427
20.5775,-0.024535655,-47.67048944
20.58,-0.024622847,-47.5754139
20.5825,-0.024710668,-47.48016692
20.585,-0.024799124,-47.38474777
20.5875,-0.02488822,-47.28915571
20.59,-0.024977963,-47.19339
20.5925,-0.025068358,-47.0974499
20.595,-0.025159413,-47.00133464
20.5975,-0.025251134,-46.90504348
20.6,-0.025343527,-46.80857564
20.6025,-0.025436598,-46.71193037
20.605,-0.025530355,-46.61510689
20.6075,-0.025624805,-46.51810442
20.61,-0.025719954,-46.42092217
20.6125,-0.02581581,-46.32355936
20.615,-0.02591238,-46.22601519
20.6175,-0.026009671,-46.12828886
20.62,-0.02610769,-46.03037957
20.6225,-0.026206445,-45.9322865
20.625,-0.026305945,-45.83400884
20.6275,-0.026406196,-45.73554576
20.63,-0.026507207,-45.63689644
20.6325,-0.026608987,-45.53806004
20.635,-0.026711542,-45.43903571
20.6375,-0.026814882,-45.33982262
20.64,-0.026919015,-45.24041992
20.6425,-0.027023951,-45.14082673
20.645,-0.027129697,-45.0410422
20.6475,-0.027236263,-44.94106546
20.65,-0.027343658,-44.84089562
20.6525,-0.027451892,-44.74053181
20.655,-0.027560974,-44.63997314
20.6575,-0.027670913,-44.5392187
20.66,-0.02778172,-44.4382676
20.6625,-0.027893405,-44.33711893
20.665,-0.028005978,-44.23577177
20.6675,-0.028119449,-44.1342252
20.67,-0.028233829,-44.03247828
20.6725,-0.028349129,-43.93053008
20.675,-0.02846536,-43.82837967
20.6775,-0.028582534,-43.72602608
20.68,-0.028700661,-43.62346836
20.6825,-0.028819753,-43.52070555
20.685,-0.028939822,-43.41773667
20.6875,-0.029060881,-43.31456074
20.69,-0.029182941,-43.21117679
20.6925,-0.029306016,-43.1075838
20.695,-0.029430118,-43.0037808
20.6975,-0.02955526,-42.89976675
20.7,-0.029681456,-42.79554066
20.7025,-0.029808719,-42.69110149
20.705,-0.029937063,-42.58644821
20.7075,-0.030066502,-42.48157979
20.71,-0.030197051,-42.37649517
20.7125,-0.030328724,-42.27119329
20.715,-0.030461537,-42.1656731
20.7175,-0.030595505,-42.05993353
20.72,-0.030730643,-41.95397348
20.7225,-0.030866967,-41.84779188
20.725,-0.031004494,-41.74138763
20.7275,-0.031143241,-41.63475961
20.73,-0.031283224,-41.52790672
20.7325,-0.03142446,-41.42082783
20.735,-0.031566968,-41.31352181
20.7375,-0.031710765,-41.20598752
20.74,-0.03185587,-41.09822381
20.7425,-0.032002302,-40.99022951
20.745,-0.03215008,-40.88200347
20.7475,-0.032299224,-40.7735445
20.75,-0.032449753,-40.66485141
20.7525,-0.032601689,-40.55592302
20.755,-0.032755052,-40.4467581
20.7575,-0.032909864,-40.33735546
20.76,-0.033066147,-40.22771385
20.7625,-0.033223923,-40.11783205
20.765,-0.033383215,-40.0077088
20.7675,-0.033544046,-39.89734286
20.77,-0.033706442,-39.78673296
20.7725,-0.033870425,-39.67587782
20.775,-0.034036021,-39.56477615
20.7775,-0.034203256,-39.45342665
20.78,-0.034372156,-39.34182802
20.7825,-0.034542748,-39.22997894
20.785,-0.03471506,-39.11787808
20.7875,-0.034889119,-39.0055241
20.79,-0.035064954,-38.89291563
20.7925,-0.035242596,-38.78005133
20.795,-0.035422074,-38.66692982
20.7975,-0.035603419,-38.5535497
20.8,-0.035786662,-38.43990958
20.8025,-0.035971837,-38.32600805
20.805,-0.036158977,-38.21184369
20.8075,-0.036348115,-38.09741506
20.81,-0.036539287,-37.98272072
20.8125,-0.036732529,-37.86775921
20.815,-0.036927876,-37.75252905
20.8175,-0.037125368,-37.63702877
20.82,-0.037325042,-37.52125686
20.8225,-0.037526938,-37.40521182
20.825,-0.037731096,-37.28889213
20.8275,-0.037937559,-37.17229624
20.83,-0.038146369,-37.05542261
20.8325,-0.038357569,-36.93826967
20.835,-0.038571206,-36.82083586
20.8375,-0.038787325,-36.70311958
20.84,-0.039005973,-36.58511922
20.8425,-0.0392272,-36.46683317
20.845,-0.039451054,-36.34825979
20.8475,-0.039677589,-36.22939744
20.85,-0.039906856,-36.11024446
20.8525,-0.040138909,-35.99079917
20.855,-0.040373805,-35.87105988
20.8575,-0.0406116,-35.75102488
20.86,-0.040852354,-35.63069245
20.8625,-0.041096127,-35.51006086
20.865,-0.041342981,-35.38912834
20.8675,-0.04159298,-35.26789315
20.87,-0.04184619,-35.14635348
20.8725,-0.042102679,-35.02450754
20.875,-0.042362516,-34.90235351
20.8775,-0.042625772,-34.77988957
20.88,-0.042892523,-34.65711385
20.8825,-0.043162843,-34.5340245
20.885,-0.04343681,-34.41061962
20.8875,-0.043714506,-34.28689733
20.89,-0.043996013,-34.16285569
20.8925,-0.044281416,-34.03849278
20.895,-0.044570804,-33.91380664
20.8975,-0.044864266,-33.7887953
20.9,-0.045161897,-33.66345676
20.9025,-0.045463793,-33.53778903
20.905,-0.045770052,-33.41179008
20.9075,-0.046080777,-33.28545785
20.91,-0.046396074,-33.15879028
20.9125,-0.046716052,-33.0317853
20.915,-0.047040822,-32.90444079
20.9175,-0.0473705,-32.77675464
20.92,-0.047705207,-32.6487247
20.9225,-0.048045065,-32.5203488
20.925,-0.048390202,-32.39162478
20.9275,-0.048740748,-32.26255042
20.93,-0.049096841,-32.1331235
20.9325,-0.04945862,-32.00334178
20.935,-0.04982623,-31.87320298
20.9375,-0.050199821,-31.74270483
20.94,-0.050579548,-31.61184502
20.9425,-0.050965569,-31.48062121
20.945,-0.051358051,-31.34903106
20.9475,-0.051757165,-31.21707219
20.95,-0.052163087,-31.0847422
20.9525,-0.052576,-30.95203868
20.955,-0.052996093,-30.81895918
20.9575,-0.053423561,-30.68550125
20.96,-0.053858608,-30.55166239
20.9625,-0.054301442,-30.4174401
20.965,-0.054752282,-30.28283184
20.9675,-0.05521135,-30.14783505
20.97,-0.055678881,-30.01244716
20.9725,-0.056155115,-29.87666556
20.975,-0.056640302,-29.74048762
20.9775,-0.0571347,-29.60391068
20.98,-0.057638578,-29.46693208
20.9825,-0.058152213,-29.3295491
20.985,-0.058675894,-29.19175903
20.9875,-0.059209921,-29.0535591
